# Created by ssdata_preprocess.py [start_value, highest, lowest, final, amount]
5.280000000000000000e+05,5.290000000000000000e+05,5.180000000000000000e+05,5.220000000000000000e+05,3.571680000000000000e+05
5.140000000000000000e+05,5.160000000000000000e+05,5.090000000000000000e+05,5.110000000000000000e+05,3.949830000000000000e+05
5.100000000000000000e+05,5.200000000000000000e+05,5.070000000000000000e+05,5.190000000000000000e+05,4.197760000000000000e+05
5.240000000000000000e+05,5.290000000000000000e+05,5.210000000000000000e+05,5.220000000000000000e+05,4.176940000000000000e+05
5.300000000000000000e+05,5.310000000000000000e+05,5.210000000000000000e+05,5.270000000000000000e+05,5.541300000000000000e+05
5.250000000000000000e+05,5.280000000000000000e+05,5.170000000000000000e+05,5.170000000000000000e+05,5.485690000000000000e+05
5.150000000000000000e+05,5.260000000000000000e+05,5.120000000000000000e+05,5.190000000000000000e+05,6.067090000000000000e+05
5.170000000000000000e+05,5.170000000000000000e+05,5.080000000000000000e+05,5.100000000000000000e+05,4.882030000000000000e+05
5.150000000000000000e+05,5.150000000000000000e+05,5.000000000000000000e+05,5.070000000000000000e+05,5.903990000000000000e+05
5.070000000000000000e+05,5.080000000000000000e+05,5.000000000000000000e+05,5.020000000000000000e+05,5.276070000000000000e+05
4.990000000000000000e+05,5.000000000000000000e+05,4.915000000000000000e+05,5.000000000000000000e+05,4.978980000000000000e+05
5.030000000000000000e+05,5.080000000000000000e+05,4.995000000000000000e+05,4.995000000000000000e+05,6.326750000000000000e+05
5.070000000000000000e+05,5.190000000000000000e+05,5.040000000000000000e+05,5.190000000000000000e+05,6.402260000000000000e+05
5.130000000000000000e+05,5.160000000000000000e+05,5.080000000000000000e+05,5.100000000000000000e+05,4.169100000000000000e+05
5.120000000000000000e+05,5.140000000000000000e+05,4.990000000000000000e+05,5.020000000000000000e+05,5.006840000000000000e+05
4.990000000000000000e+05,5.040000000000000000e+05,4.955000000000000000e+05,5.030000000000000000e+05,3.709970000000000000e+05
4.930000000000000000e+05,4.985000000000000000e+05,4.920000000000000000e+05,4.960000000000000000e+05,4.175860000000000000e+05
4.930000000000000000e+05,4.980000000000000000e+05,4.930000000000000000e+05,4.950000000000000000e+05,2.550590000000000000e+05
4.915000000000000000e+05,4.990000000000000000e+05,4.900000000000000000e+05,4.920000000000000000e+05,3.354940000000000000e+05
4.930000000000000000e+05,5.010000000000000000e+05,4.895000000000000000e+05,4.960000000000000000e+05,3.159590000000000000e+05
4.930000000000000000e+05,4.995000000000000000e+05,4.915000000000000000e+05,4.985000000000000000e+05,3.184910000000000000e+05
5.010000000000000000e+05,5.060000000000000000e+05,4.975000000000000000e+05,5.030000000000000000e+05,4.020560000000000000e+05
5.050000000000000000e+05,5.060000000000000000e+05,5.000000000000000000e+05,5.050000000000000000e+05,2.175000000000000000e+05
5.100000000000000000e+05,5.110000000000000000e+05,5.070000000000000000e+05,5.100000000000000000e+05,1.796870000000000000e+05
5.100000000000000000e+05,5.110000000000000000e+05,5.000000000000000000e+05,5.020000000000000000e+05,3.371150000000000000e+05
4.940000000000000000e+05,4.995000000000000000e+05,4.940000000000000000e+05,4.980000000000000000e+05,3.629060000000000000e+05
5.060000000000000000e+05,5.070000000000000000e+05,5.010000000000000000e+05,5.020000000000000000e+05,3.467250000000000000e+05
5.020000000000000000e+05,5.160000000000000000e+05,5.000000000000000000e+05,5.120000000000000000e+05,4.531380000000000000e+05
5.120000000000000000e+05,5.170000000000000000e+05,5.100000000000000000e+05,5.170000000000000000e+05,3.443990000000000000e+05
5.180000000000000000e+05,5.200000000000000000e+05,5.100000000000000000e+05,5.180000000000000000e+05,4.101200000000000000e+05
5.180000000000000000e+05,5.200000000000000000e+05,5.150000000000000000e+05,5.180000000000000000e+05,3.571740000000000000e+05
5.240000000000000000e+05,5.250000000000000000e+05,5.200000000000000000e+05,5.220000000000000000e+05,2.789190000000000000e+05
5.220000000000000000e+05,5.220000000000000000e+05,5.160000000000000000e+05,5.170000000000000000e+05,1.913230000000000000e+05
5.160000000000000000e+05,5.200000000000000000e+05,5.130000000000000000e+05,5.200000000000000000e+05,2.077400000000000000e+05
5.180000000000000000e+05,5.200000000000000000e+05,5.160000000000000000e+05,5.180000000000000000e+05,2.135190000000000000e+05
5.130000000000000000e+05,5.140000000000000000e+05,5.020000000000000000e+05,5.020000000000000000e+05,6.635200000000000000e+05
5.000000000000000000e+05,5.020000000000000000e+05,4.890000000000000000e+05,4.915000000000000000e+05,8.669640000000000000e+05
4.735000000000000000e+05,4.815000000000000000e+05,4.720000000000000000e+05,4.760000000000000000e+05,8.649480000000000000e+05
4.770000000000000000e+05,4.800000000000000000e+05,4.740000000000000000e+05,4.740000000000000000e+05,6.029590000000000000e+05
4.785000000000000000e+05,4.830000000000000000e+05,4.690000000000000000e+05,4.700000000000000000e+05,6.577110000000000000e+05
4.620000000000000000e+05,4.700000000000000000e+05,4.575000000000000000e+05,4.660000000000000000e+05,5.864750000000000000e+05
4.750000000000000000e+05,4.760000000000000000e+05,4.670000000000000000e+05,4.670000000000000000e+05,3.345970000000000000e+05
4.620000000000000000e+05,4.745000000000000000e+05,4.620000000000000000e+05,4.745000000000000000e+05,3.287760000000000000e+05
4.745000000000000000e+05,4.745000000000000000e+05,4.710000000000000000e+05,4.710000000000000000e+05,1.875460000000000000e+05
4.630000000000000000e+05,4.670000000000000000e+05,4.610000000000000000e+05,4.640000000000000000e+05,4.118130000000000000e+05
4.630000000000000000e+05,4.635000000000000000e+05,4.570000000000000000e+05,4.600000000000000000e+05,3.940490000000000000e+05
4.520000000000000000e+05,4.565000000000000000e+05,4.495000000000000000e+05,4.520000000000000000e+05,5.855970000000000000e+05
4.560000000000000000e+05,4.580000000000000000e+05,4.500000000000000000e+05,4.555000000000000000e+05,2.369120000000000000e+05
4.550000000000000000e+05,4.615000000000000000e+05,4.525000000000000000e+05,4.550000000000000000e+05,2.774320000000000000e+05
4.550000000000000000e+05,4.670000000000000000e+05,4.550000000000000000e+05,4.645000000000000000e+05,3.463700000000000000e+05
4.665000000000000000e+05,4.755000000000000000e+05,4.665000000000000000e+05,4.740000000000000000e+05,4.936660000000000000e+05
4.750000000000000000e+05,4.775000000000000000e+05,4.705000000000000000e+05,4.750000000000000000e+05,4.007700000000000000e+05
4.780000000000000000e+05,4.795000000000000000e+05,4.755000000000000000e+05,4.770000000000000000e+05,2.135740000000000000e+05
4.750000000000000000e+05,4.755000000000000000e+05,4.715000000000000000e+05,4.720000000000000000e+05,3.460950000000000000e+05
