date,price,highest,lowest,final,ratio,,updown,amount,total,cratio,personal,company,foreigners,foreign,program,foreign_ratio
4/5/2016,1299000.00,1299000.00,1260000.00,1260000.00,▼,-45000.00,-3.45,235999.00,301064.00,0.00,34288.00,5752.00,0.00,-81358.00,-34356.00,49.51
4/4/2016,1279000.00,1305000.00,1279000.00,1305000.00,▲,26000.00,2.03,188046.00,243653.00,0.00,-12443.00,-51871.00,26405.00,14875.00,12905.00,49.51
4/1/2016,1299000.00,1309000.00,1271000.00,1279000.00,▼,-33000.00,-2.52,271156.00,349861.00,0.00,157.00,28806.00,-75473.00,-79755.00,-43098.00,49.49
3/31/2016,1306000.00,1314000.00,1298000.00,1312000.00,▲,4000.00,0.31,382615.00,500181.00,0.00,-18949.00,-418.00,-39391.00,-87222.00,56684.00,49.55
3/30/2016,1310000.00,1321000.00,1302000.00,1308000.00,▲,18000.00,1.40,267605.00,350605.00,0.00,-32600.00,14729.00,-39225.00,-29036.00,-17610.00,49.57
3/29/2016,1294000.00,1300000.00,1285000.00,1290000.00,▼,-4000.00,-0.31,172454.00,222854.00,0.00,-16752.00,-11583.00,-5878.00,10719.00,-47531.00,49.60
3/28/2016,1288000.00,1300000.00,1288000.00,1294000.00,▲,6000.00,0.47,121218.00,156896.00,0.00,-26089.00,-8671.00,-12425.00,-5940.00,3596.00,49.60
3/25/2016,1283000.00,1290000.00,1278000.00,1288000.00,▲,6000.00,0.47,143446.00,184539.00,0.00,-30147.00,-10881.00,5849.00,267.00,-10675.00,49.61
3/24/2016,1279000.00,1290000.00,1266000.00,1282000.00,▲,3000.00,0.23,218795.00,280495.00,0.00,-29085.00,-13079.00,-6569.00,3840.00,10303.00,49.61
3/23/2016,1269000.00,1279000.00,1262000.00,1279000.00,▲,10000.00,0.79,197418.00,251145.00,0.00,-23229.00,-20508.00,14599.00,11846.00,6897.00,49.61
3/22/2016,1267000.00,1279000.00,1262000.00,1269000.00,▲,2000.00,0.16,202872.00,257254.00,0.00,-7252.00,-33847.00,-5279.00,14757.00,-27307.00,49.60
3/21/2016,1274000.00,1279000.00,1258000.00,1267000.00,▼,-6000.00,-0.47,181170.00,229721.00,0.00,935.00,-42185.00,-5907.00,6796.00,-24496.00,49.61
3/18/2016,1278000.00,1278000.00,1263000.00,1273000.00,▲,10000.00,0.79,225314.00,286244.00,0.01,-2358.00,-61756.00,33559.00,61271.00,10945.00,49.61
3/17/2016,1265000.00,1296000.00,1257000.00,1263000.00,▲,7000.00,0.56,246869.00,315157.00,0.00,-26606.00,-32050.00,38286.00,40066.00,64420.00,49.59
3/16/2016,1256000.00,1263000.00,1253000.00,1256000.00,▲,3000.00,0.24,146856.00,184670.00,0.01,-4906.00,11642.00,-30091.00,-33365.00,16966.00,49.56
3/15/2016,1255000.00,1264000.00,1246000.00,1253000.00,▼,-2000.00,-0.16,172808.00,217076.00,0.01,-9742.00,3231.00,-36776.00,-27370.00,-29235.00,49.58
3/14/2016,1267000.00,1273000.00,1249000.00,1255000.00,▲,6000.00,0.48,217154.00,274199.00,0.01,-27311.00,12669.00,-8590.00,-5034.00,230.00,49.61
3/11/2016,1225000.00,1253000.00,1216000.00,1249000.00,▲,24000.00,1.96,267225.00,331888.00,0.01,-47101.00,-13934.00,14431.00,45888.00,16557.00,49.61
3/10/2016,1208000.00,1236000.00,1201000.00,1225000.00,▲,31000.00,2.60,283540.00,346840.00,0.01,-63019.00,-91633.00,113170.00,100855.00,75316.00,49.60
3/9/2016,1188000.00,1199000.00,1177000.00,1194000.00,▲,2000.00,0.17,183380.00,217551.00,0.01,4137.00,-27235.00,-26270.00,-21173.00,40585.00,49.52
3/8/2016,1223000.00,1224000.00,1186000.00,1192000.00,▼,-31000.00,-2.53,216202.00,259516.00,0.01,15924.00,-2878.00,-55025.00,-45089.00,8607.00,49.54
3/7/2016,1220000.00,1231000.00,1215000.00,1223000.00,▲,8000.00,0.66,131376.00,160439.00,0.01,-17264.00,-27940.00,4209.00,-3773.00,7504.00,49.58
3/4/2016,1220000.00,1228000.00,1202000.00,1215000.00,▼,-5000.00,-0.41,201490.00,245612.00,0.01,-16179.00,-23861.00,6935.00,-23776.00,26602.00,49.58
3/3/2016,1213000.00,1220000.00,1202000.00,1220000.00,▲,23000.00,1.92,218991.00,265285.00,0.02,-26411.00,-56337.00,40891.00,13143.00,46905.00,49.57
3/2/2016,1200000.00,1207000.00,1196000.00,1197000.00,▲,19000.00,1.61,236372.00,283853.00,0.02,-33789.00,-27888.00,20476.00,16268.00,48518.00,49.54
